date,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,OT,h,c
8/12/2019,0.730938,0.834825,2630,2828,8987,2178,1076513,0,128151
8/19/2019,0.840615,0.942052,2907,3501,10096,2147,1071703,0,281834
8/26/2019,0.989217,1.07895,3394,4220,11817,2169,1095230,0,534607
9/2/2019,1.14059,1.20634,3801,4535,13158,2189,1090741,0,873607
9/9/2019,1.23272,1.2757,3905,5499,14831,2221,1162580,0,1393826
9/16/2019,1.24529,1.39156,4463,5673,15977,2198,1148137,0,2817207
9/23/2019,1.33771,1.49698,4970,6104,17414,2180,1163278,0,4179976
9/30/2019,1.49064,1.50415,6218,7658,21915,2896,1456967,0,5669539
10/7/2019,1.59269,1.59823,6550,7638,22953,2924,1436150,28,6883544
10/14/2019,1.72517,1.73838,7273,8277,24857,2950,1429897,34,7525535
10/21/2019,1.83428,1.8605,7892,9349,27419,2980,1473740,50,7111918
10/28/2019,2.04049,2.01425,8658,10068,28910,2989,1435277,57,6404040
11/4/2019,2.39351,2.36364,10557,12551,34586,3007,1463253,69,5101373
11/11/2019,2.63245,2.64431,11446,13671,37728,2976,1426760,87,4264303
11/18/2019,2.91944,2.97548,12714,17049,44148,2971,1483729,122,3376870
11/25/2019,3.41066,3.44787,14389,14717,43817,2971,1270842,184,2857388
12/2/2019,3.2622,3.31577,13839,16389,48877,2977,1474075,271,1573418
12/9/2019,3.94308,3.86928,14728,21877,56444,2947,1458774,366,1847197
12/16/2019,5.06529,5.02757,17999,29177,71584,2913,1423829,502,1666594
12/23/2019,7.06161,7.15315,24097,34004,95757,2905,1338669,705,1368270
12/30/2019,5.91974,6.22926,21564,23383,88681,2957,1423620,1301,629829
1/6/2020,4.94176,5.06974,15547,22747,75585,2987,1490905,1549,656184
1/13/2020,5.33174,5.35782,16587,29657,79746,2983,1488404,1321,908460
1/20/2020,6.08106,6.0261,18558,35216,90072,2984,1494697,1225,764079
1/27/2020,6.74724,6.87271,20299,44117,108307,2984,1575900,1345,595610
2/3/2020,6.7998,7.08261,20270,45491,111289,2994,1571300,1554,580792
2/10/2020,6.11292,6.22068,17393,36909,95418,2958,1533883,1759,444031
2/17/2020,5.55671,5.62148,15233,28328,79832,2909,1420123,1463,346602
2/24/2020,5.12279,5.10226,13817,25487,74809,2934,1466192,1466,274428
3/2/2020,5.26652,5.28928,13888,26396,78779,2901,1489410,1286,298395
3/9/2020,5.67081,6.29229,14149,27752,89571,2836,1423503,1153,374686
3/16/2020,6.38029,7.35285,10790,17512,78584,2798,1068755,826,325055
3/23/2020,4.91692,6.22687,5129,8322,53142,2727,853431,367,147236
3/30/2020,3.78625,4.82995,2359,4852,36251,2684,750546,92,46623
4/6/2020,2.80122,3.47366,1496,3426,24974,2686,718953,35,21547
4/13/2020,2.12879,2.57382,1068,2666,18265,2666,709645,17,9803
4/20/2020,1.73315,2.02032,926,2317,15164,2652,750576,21,6718
4/27/2020,1.40932,1.62094,864,2098,12817,2624,790715,9,6311
5/4/2020,1.18336,1.35262,729,1889,11066,2611,818113,0,5569
5/11/2020,1.11451,1.23819,788,1960,10480,2601,846400,0,3953
5/18/2020,1.00534,1.07598,1224,2402,11735,2971,1090638,0,3289
5/25/2020,0.88827,0.885843,805,1898,9614,2950,1085294,0,2927
6/1/2020,0.814062,0.819928,802,1969,9325,2931,1137295,0,2161
6/8/2020,0.836751,0.814575,881,2141,9580,2902,1176074,0,0
6/15/2020,0.928456,0.950979,1006,2679,11866,2935,1247767,0,0
6/22/2020,1.14217,1.20306,1216,3491,15499,2896,1288294,0,0
6/29/2020,1.27401,1.38424,1395,3970,17843,2897,1289006,0,0
7/6/2020,1.34951,1.47311,1545,4094,20046,2918,1360798,0,0
7/13/2020,1.34471,1.43761,1658,4075,19260,2894,1339726,0,0
7/20/2020,1.22153,1.21898,1634,3560,16533,2953,1356301,0,0
7/27/2020,1.15258,1.15067,1609,3497,15524,2992,1349125,0,0
8/3/2020,1.0626,1.05662,1570,3271,14117,2956,1336052,0,0
8/10/2020,0.979884,0.981699,1592,3167,13193,2978,1343895,0,101720
8/17/2020,0.969202,0.961833,1804,3283,12952,2930,1346595,0,439344
8/24/2020,1.00022,0.970543,1866,3951,13159,2967,1355839,0,1364435
8/31/2020,0.920817,0.919002,1759,3609,12316,2921,1340149,0,1963648
9/7/2020,1.0355,0.978032,1999,3822,13035,2915,1332779,0,3243773
9/14/2020,0.974333,0.955677,2070,3628,13049,2943,1365420,0,4439730
9/21/2020,1.06462,1.03845,2286,4366,14586,2941,1404590,0,6623315
9/28/2020,1.09211,1.08024,2454,4715,16466,3246,1524289,0,7227623
10/5/2020,1.21201,1.19451,2558,5239,19144,3318,1602667,1,8212261
10/12/2020,1.11151,1.09796,2313,4613,17235,3301,1569727,2,8885940
10/19/2020,1.18662,1.15393,2454,4834,18133,3330,1571417,6,7859780
10/26/2020,1.25262,1.18924,2512,4916,18554,3421,1560158,7,6733674
11/2/2020,1.44427,1.33759,2726,5825,21370,3425,1597645,7,5252859
11/9/2020,1.48969,1.37845,2776,5544,22598,3391,1639379,12,3984207
11/16/2020,1.56064,1.43236,2692,5342,22709,3334,1585429,13,3130833
11/23/2020,1.61944,1.49959,2484,4584,21313,3333,1421255,11,2595396
11/30/2020,1.57347,1.44967,2597,4861,22251,3339,1534905,8,1357296
12/7/2020,1.51939,1.42617,2504,4692,22103,3358,1549810,17,1487170
12/14/2020,1.50599,1.39797,2482,4282,20874,3299,1493163,13,1242143
12/21/2020,1.55485,1.45725,2323,3564,19836,3301,1361197,11,938010
12/28/2020,1.58903,1.53781,2583,3933,22423,3280,1458113,13,519683
1/4/2021,1.47519,1.4348,2414,4549,22711,3316,1582870,11,507868
1/11/2021,1.28752,1.2606,2297,3975,19018,3278,1508647,8,434450
1/18/2021,1.25172,1.21098,2566,4056,18350,3315,1515305,5,332333
1/25/2021,1.10177,1.12283,2558,3953,16896,3324,1504764,9,274755
2/1/2021,1.16565,1.08237,2636,4015,16098,3295,1487296,11,204459
2/8/2021,1.00609,0.975086,2552,3730,14079,3246,1443873,6,167007
2/15/2021,0.986101,0.907555,2318,3144,12591,3256,1387354,4,110273
2/22/2021,0.864388,0.860857,2543,3541,13344,3276,1550083,5,117381
3/1/2021,0.828056,0.842356,2771,3540,13000,3278,1543291,9,82986
3/8/2021,0.882103,0.902897,3218,3806,14077,3284,1559093,6,61707
3/15/2021,0.908033,0.939382,3514,3856,14574,3227,1551445,3,44199
3/22/2021,0.947577,0.96011,3817,3915,15354,3201,1599192,4,33740
3/29/2021,0.975225,0.998141,4116,4089,15993,3257,1602279,4,22668
4/5/2021,1.06101,1.07796,4731,4685,18100,3277,1679101,4,13091
4/12/2021,1.08091,1.1089,5227,4907,19165,3282,1728295,3,9509
4/19/2021,1.10326,1.1502,5763,5093,19305,3248,1678407,2,7786
4/26/2021,1.13361,1.1834,6326,5503,20099,3256,1698411,3,6824
5/3/2021,1.14992,1.20915,6822,5401,19930,3227,1648268,0,5179
5/10/2021,1.19092,1.25462,7365,5491,20367,3214,1623366,0,4245
5/17/2021,1.24677,1.26333,8352,5414,21262,3193,1683010,0,3409
5/24/2021,1.14504,1.19095,7953,4967,19675,3141,1652047,0,3212
5/31/2021,1.18454,1.25187,8502,4854,20143,3140,1609033,0,2151
6/7/2021,1.12943,1.14521,8096,4645,19182,3110,1674977,0,0
6/14/2021,1.18866,1.18174,8503,4594,19579,3068,1656791,0,0
6/21/2021,1.21202,1.21001,8514,4609,19890,3057,1643793,0,0
6/28/2021,1.21342,1.21283,8369,4757,20092,3055,1656615,0,0
7/5/2021,1.26676,1.32905,8719,5309,22371,3055,1683237,0,0
7/12/2021,1.38728,1.44269,9193,5930,25261,3067,1750965,0,0
7/19/2021,1.6475,1.70926,10371,7170,30545,3067,1787028,0,0
7/26/2021,1.80199,1.91065,11132,8572,35195,3050,1842048,0,0
8/2/2021,1.94952,2.05206,11102,8900,37756,3050,1839909,0,0
8/9/2021,2.03548,2.15548,11264,10105,40067,3042,1858843,0,124086
8/16/2021,2.1918,2.30581,11801,12275,42721,3029,1852756,0,400581
8/23/2021,2.23897,2.30752,11982,13529,43058,3028,1865986,0,577868
8/30/2021,2.26643,2.25253,11745,13053,40864,3027,1814136,0,1242329
9/6/2021,2.21298,2.21275,11705,12250,39421,3021,1781535,0,2181830
9/13/2021,2.045,2.00464,11248,11578,36193,3059,1805463,0,3908141
9/20/2021,1.90124,1.93759,10916,11380,33976,3037,1753523,0,5101603
9/27/2021,1.8442,1.84367,10133,10040,29949,2877,1624427,0,6439248
10/4/2021,2.04291,1.96951,13140,13154,39535,3501,2007349,6,7319617
10/11/2021,1.94883,1.90695,13072,11985,37638,3510,1973726,12,7262223
10/18/2021,1.92689,1.86187,12500,11458,35714,3474,1918176,9,6303992
10/25/2021,1.9797,1.89376,12859,11888,36639,3509,1934723,9,5265345
11/1/2021,2.13555,2.08777,13304,14454,40030,3515,1917361,8,4392678
11/8/2021,2.26828,2.22941,14565,15840,44163,3530,1980931,17,3584037
11/15/2021,2.41203,2.35687,14740,17358,47076,3526,1997393,24,3172924
11/22/2021,2.51906,2.45867,14918,13401,43324,3519,1762089,46,1967965
11/29/2021,2.55518,2.56351,15167,17353,52729,3545,2056903,79,2297514
12/6/2021,2.73156,2.71846,14971,19971,55069,3544,2025745,125,1956652
12/13/2021,3.14637,3.09823,16287,23450,62545,3518,2018736,173,1663988
12/20/2021,4.00697,4.07867,18515,25073,79225,3496,1942424,211,1159723
12/27/2021,4.90255,5.06901,24109,28952,113862,3455,2246237,282,839205
1/3/2022,4.32609,4.28066,17044,24738,93262,3487,2178681,184,852642
1/10/2022,3.53446,3.41579,12223,20214,69183,3499,2025389,119,781824
1/17/2022,2.80631,2.67796,9492,13268,48498,3503,1811003,75,542935
1/24/2022,2.07428,1.97776,7309,9526,34810,3485,1760073,47,459665
1/31/2022,1.68283,1.56091,6082,7748,25831,3415,1654872,53,355718
2/7/2022,1.44399,1.34542,6395,7610,23731,3474,1763832,54,305900
2/14/2022,1.49042,1.37085,6917,8500,23946,3474,1746795,65,235064
2/21/2022,1.46656,1.37026,7057,8330,23609,3472,1722955,83,181914
2/28/2022,1.58712,1.42301,7423,9830,25801,3470,1813130,103,128896
3/7/2022,1.70414,1.54683,8210,11085,28077,3485,1815133,120,97850
3/14/2022,1.83426,1.67881,9042,12124,31359,3454,1867926,181,76634
3/21/2022,1.87437,1.73443,9302,12648,32423,3449,1869370,209,60305
3/28/2022,1.97666,1.85462,9613,13660,34822,3443,1877580,280,50282
4/4/2022,2.07192,1.99404,10562,15187,38144,3453,1912899,312,33877
4/11/2022,2.16356,2.12964,11336,16095,40966,3446,1923613,316,24981
4/18/2022,2.20516,2.1833,11734,15748,42086,3457,1927635,350,17199
4/25/2022,2.30897,2.21509,12070,16372,43420,3426,1960190,360,14573
5/2/2022,2.36195,2.4143,12835,18631,47799,3394,1979830,320,10861
5/9/2022,2.55252,2.60892,14243,19989,52025,3376,1994121,301,8846
5/16/2022,2.4544,2.60434,15055,20746,54081,3414,2076569,223,7956
5/23/2022,2.39129,2.66831,14561,19982,52385,3351,1963229,187,6582
5/30/2022,2.43334,2.64646,15809,17507,51863,3345,1959711,141,3538
6/6/2022,2.16338,2.29329,14154,13726,45240,3342,1972714,94,0
6/13/2022,1.9885,2.0741,12858,11205,40250,3302,1940597,0,0
6/20/2022,1.87681,1.91807,11865,9933,37830,3355,1972297,0,0
6/27/2022,1.80431,1.80208,11066,8513,34566,3237,1918113,0,0
7/4/2022,1.8187,1.79307,10580,8593,34983,3345,1951013,0,0
7/11/2022,1.67889,1.66869,9525,8111,33011,3313,1978256,0,0
7/18/2022,1.66049,1.64913,9361,8116,32611,3313,1977461,0,0
7/25/2022,1.67087,1.64799,9153,7859,32040,3289,1944189,0,0
8/1/2022,1.53015,1.5292,8659,7476,29641,3305,1938338,0,0
8/8/2022,1.51566,1.51741,8329,7813,28642,3198,1887562,0,121922
8/15/2022,1.60511,1.61916,9479,9934,31572,3293,1949894,0,272793
8/22/2022,1.83833,1.81145,10792,12593,35787,3280,1975601,0,444206
8/29/2022,1.96617,1.89564,11524,13887,37513,3260,1978914,0,949545
9/5/2022,2.02613,1.94934,12548,13475,38334,3290,1966513,0,2165580
9/12/2022,2.04444,1.97433,13405,14610,39838,3322,2017799,0,3875981
9/19/2022,2.29157,2.19998,15939,16713,44726,3334,2033022,0,4747216
9/26/2022,2.37316,2.29832,17080,16825,46321,3353,2015431,0,5371693
10/3/2022,2.61928,2.59379,18503,20141,57318,3684,2209814,123,6445746
10/10/2022,2.97342,2.85133,20623,22779,63388,3720,2223106,162,6981415
10/17/2022,3.33747,3.31688,23713,28368,75615,3726,2279700,272,6813313
10/24/2022,4.40914,4.4466,32012,45003,109496,3788,2462467,513,6227665
10/31/2022,5.46044,5.54702,37474,61015,139247,3776,2510305,726,5034108
11/7/2022,5.77391,5.67263,38651,57053,140055,3793,2468962,945,3988602
11/14/2022,5.95367,5.73531,34849,55229,137419,3777,2396019,1140,3380034
11/21/2022,7.46674,7.37142,39539,62925,164936,3765,2237505,2039,1903632
11/28/2022,7.22916,7.24012,38495,63623,185673,3767,2564503,2544,2070514
12/5/2022,6.83803,6.82928,32316,62563,167248,3750,2448985,2148,2003375
12/12/2022,6.32716,6.46231,28976,55613,151672,3751,2347026,1872,1725513
12/19/2022,5.98024,6.1412,25500,41624,129978,3715,2116491,1641,1146297
12/26/2022,5.33738,5.46656,22891,27251,112531,3703,2058533,1516,630200
1/2/2023,3.94632,4.07732,16651,21006,92034,3740,2257219,872,570148
1/9/2023,2.95379,3.05773,12231,18061,67720,3737,2214718,376,557603
1/16/2023,2.64461,2.70671,11720,16915,57770,3730,2134322,233,395087
1/23/2023,2.63254,2.67225,12170,18680,58231,3716,2179097,133,326543
1/30/2023,2.58785,2.68591,12686,19751,59326,3734,2208786,127,262817
2/6/2023,2.59797,2.70465,13271,20964,62258,3735,2301891,102,223472
2/13/2023,2.57397,2.6371,13127,19818,59665,3695,2262519,89,172835
2/20/2023,2.53338,2.58651,13478,18410,57223,3719,2212367,81,136501
2/27/2023,2.41141,2.44348,12693,18281,55682,3725,2278801,70,115415
3/6/2023,2.36135,2.40445,12840,18388,54686,3722,2274369,74,92916
3/13/2023,2.35552,2.43524,13086,17814,54263,3713,2228243,74,75190
3/20/2023,2.31452,2.41343,13043,18685,55394,3665,2295244,80,60675
3/27/2023,2.26061,2.34891,12413,18078,53342,3688,2270922,73,47484
4/3/2023,2.13495,2.20628,11586,15673,48355,3680,2191695,70,28471
4/10/2023,2.01808,2.0726,11151,14832,46725,3665,2254413,61,20463
4/17/2023,1.91773,1.95437,9912,14788,44507,3680,2277306,59,14238
4/24/2023,1.91233,1.97315,10041,15803,44802,3677,2270577,50,11552
5/1/2023,1.95706,2.0174,10013,16115,45582,3652,2259439,0,7590
5/8/2023,1.92178,1.99349,10187,16725,45769,3654,2295923,0,5769
5/15/2023,1.88696,1.96616,9740,15517,43287,3653,2201602,0,4518
5/22/2023,1.83831,1.91398,9389,14611,41516,3518,2169098,0,3640
5/29/2023,1.85243,1.93826,9568,14220,41589,3601,2145684,0,2564
6/5/2023,1.58197,1.69283,8309,11628,36939,3583,2182091,0,0
6/12/2023,1.49009,1.57462,7741,10223,33880,3589,2151633,0,0
6/19/2023,1.36698,1.44401,6998,8941,30889,3582,2139112,0,0
6/26/2023,1.276,1.32385,6388,8012,28486,3539,2151758,0,0
7/3/2023,1.23501,1.29091,5944,7475,26648,3569,2064286,0,0
7/10/2023,1.16269,1.20177,5608,7043,25903,3542,2155400,0,0
7/17/2023,1.12962,1.19268,5718,6836,25802,3560,2163359,0,0
7/24/2023,1.1716,1.23085,5812,7046,26417,3551,2146245,0,0
7/31/2023,1.20886,1.26099,5678,6966,26896,3542,2132922,0,0
8/7/2023,1.28069,1.35931,5982,7764,29313,3521,2156467,0,193014
8/14/2023,1.45906,1.53965,6688,9759,33663,3533,2186399,0,330861
8/21/2023,1.72129,1.8262,8234,13151,40979,3524,2243946,0,566447
8/28/2023,1.95643,1.97735,8980,14664,44411,3537,2245988,0,1002954
9/4/2023,2.02622,2.0246,9546,14159,44734,3538,2209523,0,1945195
9/11/2023,1.95721,1.99147,9485,14904,45287,3558,2274050,0,3281344
9/18/2023,2.04894,2.13438,10912,16162,48265,3558,2261308,0,4671825
9/25/2023,2.10325,2.17945,11376,16110,49269,3552,2260617,0,5515828
10/2/2023,2.29437,2.25993,13519,19002,56312,4131,2491762,62,6256341
10/9/2023,2.35661,2.31333,14421,18599,57524,4152,2486632,73,6107715
10/16/2023,2.54534,2.51543,15720,20305,62503,4137,2484780,79,5545284
10/23/2023,2.73456,2.68187,16987,22384,67635,4162,2521937,78,4934631
10/30/2023,2.97593,2.91427,17798,24808,72231,4157,2478529,141,4029660
11/6/2023,3.44474,3.32776,21464,29464,85459,4153,2568065,234,3368519
11/13/2023,3.72733,3.57493,22024,30847,90948,4156,2544050,286,2845464
11/20/2023,3.96716,3.7901,22396,25940,85524,4169,2256510,416,1671876
11/27/2023,4.0711,3.96251,22647,30362,103712,4142,2617331,645,2014485
12/4/2023,4.43001,4.3577,23354,38183,114141,4106,2619296,890,1699543
12/11/2023,5.23531,5.20976,26077,48330,135998,4122,2610448,1270,1398420
12/18/2023,6.29628,6.3132,29770,53491,163265,4093,2586088,2050,1161054
12/25/2023,6.86008,6.90793,31488,41791,166750,4084,2413892,2719,626855
1/1/2024,5.76943,5.76353,24677,32320,143938,4112,2497395,2121,727546
1/8/2024,4.71303,4.7553,18151,31396,118459,4110,2491092,1657,730219
1/15/2024,4.37645,4.35212,16160,29154,100098,4121,2299985,1282,492683
1/22/2024,4.29285,4.22512,16225,34393,105571,4145,2498648,1208,444223
1/29/2024,4.47024,4.27996,17267,38567,107922,4127,2521568,1077,359348
2/5/2024,4.51127,4.40173,17961,41789,112968,4130,2566444,1070,285000
2/12/2024,4.40434,4.33653,17400,38985,108366,4118,2498912,1024,205667
2/19/2024,4.38329,4.32522,17659,37127,107566,4111,2486951,1021,145512
2/26/2024,4.10181,4.08164,17334,36003,104864,4110,2569164,1018,126178
3/4/2024,3.7598,3.73403,16496,33098,94742,4114,2537260,824,109727
3/11/2024,3.43549,3.40093,15876,29166,84963,4053,2498228,658,89833
3/18/2024,3.11686,3.15455,15097,26542,78618,4106,2492206,574,75188
3/25/2024,2.99938,3.0343,14434,23556,73845,4099,2433678,532,56251
4/1/2024,2.79485,2.83344,13918,20517,68526,4074,2418470,508,31991
4/8/2024,2.56441,2.59313,13267,19722,64449,4088,2485371,385,21864
4/15/2024,2.27074,2.29554,11853,18319,57522,4074,2505816,284,18117
4/22/2024,2.21342,2.24527,11399,18188,55413,4047,2467989,208,15386
4/29/2024,2.12453,2.14655,11136,17612,53519,4001,2493255,139,13213
5/6/2024,2.02811,2.04178,10369,16479,50457,4048,2471221,116,8509
5/13/2024,1.99937,2.03197,10323,15732,49254,4002,2423948,90,6825
5/20/2024,1.93241,1.95808,9847,14626,47562,3962,2429017,84,4496
5/27/2024,1.90317,1.9223,9668,13385,44766,3951,2328772,82,2851
6/3/2024,1.68241,1.72665,8276,11484,41248,3923,2388904,65,0
6/10/2024,1.60309,1.6062,7421,10231,37720,3916,2348396,50,0
6/17/2024,1.5073,1.54206,6731,9048,35781,3914,2320335,64,0
6/24/2024,1.48383,1.49644,6268,9093,35208,3861,2352786,47,0
7/1/2024,1.39299,1.44723,5810,8077,32093,3889,2217551,52,0
7/8/2024,1.45392,1.44843,6101,8819,34982,3876,2415173,52,0
7/15/2024,1.45455,1.43289,5727,8326,33474,3859,2336121,34,0
7/22/2024,1.5251,1.50564,6018,8651,34749,3887,2307921,26,0
7/29/2024,1.5366,1.49629,6006,8902,34935,3889,2334775,18,0
8/5/2024,1.54425,1.50949,6263,9040,34912,3839,2312831,32,169924
8/12/2024,1.51967,1.54313,6296,9976,35347,3721,2290608,30,305587
